armed,alert,timestamp
T,T,2015-02-03T18:22:29.084Z
T,F,2015-02-03T18:21:55.827Z
T,T,2015-02-03T18:21:25.632Z
T,F,2015-02-03T18:20:54.430Z
T,T,2015-02-03T18:20:24.264Z
T,F,2015-02-03T18:19:54.006Z
T,F,2015-02-03T18:12:16.957Z
T,T,2015-02-03T18:11:46.772Z
T,F,2015-02-03T18:11:15.568Z
T,T,2015-02-03T18:10:45.340Z
T,F,2015-02-03T18:10:14.693Z
T,T,2015-02-03T18:09:43.866Z
T,F,2015-02-03T18:09:12.567Z
T,T,2015-02-03T18:08:42.021Z
T,T,2015-01-30T07:08:14.278Z
T,F,2015-01-30T07:07:43.937Z
T,T,2015-01-30T07:07:13.672Z
T,F,2015-01-30T07:06:43.475Z
T,T,2015-01-30T07:06:12.907Z
T,F,2015-01-30T07:05:42.530Z
T,T,2015-01-30T07:05:12.275Z
T,F,2015-01-30T07:04:41.602Z
T,T,2015-01-30T07:04:11.395Z
T,F,2015-01-30T07:03:41.207Z
T,T,2015-01-30T07:03:11.018Z
T,F,2015-01-30T07:02:40.839Z
T,T,2015-01-30T07:02:09.686Z
T,F,2015-01-30T07:01:39.492Z
T,T,2015-01-30T07:01:09.545Z
T,F,2015-01-30T07:00:39.028Z
T,T,2015-01-30T07:00:08.723Z
T,F,2015-01-30T06:59:38.471Z
T,T,2015-01-30T06:59:06.166Z
T,F,2015-01-30T06:46:23.078Z
T,T,2015-01-30T06:45:52.976Z
T,F,2015-01-30T06:45:22.299Z
T,T,2015-01-30T06:44:51.169Z
T,F,2015-01-30T06:44:20.222Z
T,T,2015-01-30T06:43:50.046Z
T,F,2015-01-30T06:43:19.709Z
T,T,2015-01-30T06:42:49.430Z
T,F,2015-01-30T06:42:19.196Z
T,T,2015-01-30T06:41:49.013Z
T,F,2015-01-30T06:41:18.486Z
T,T,2015-01-30T06:40:48.292Z
T,F,2015-01-30T06:40:18.093Z
T,T,2015-01-30T06:39:47.854Z
T,F,2015-01-30T06:39:17.684Z
T,T,2015-01-30T06:38:47.510Z
T,F,2015-01-30T06:38:13.827Z
T,T,2015-01-30T06:37:43.697Z
T,F,2015-01-30T06:37:13.050Z
T,T,2015-01-30T06:36:42.846Z
T,T,2015-01-30T06:35:05.741Z
T,F,2015-01-30T06:35:04.977Z
T,T,2015-01-30T06:35:04.510Z
T,F,2015-01-30T06:35:03.848Z
T,T,2015-01-30T06:35:03.152Z
F,F,2015-01-30T05:29:12.303Z
F,F,2015-01-30T05:27:27.716Z
F,F,2015-01-30T05:25:45.524Z
F,F,2015-01-30T05:22:45.607Z
F,T,2015-01-30T04:23:51.982Z
F,T,2015-01-30T04:23:50.294Z
F,T,2015-01-30T04:23:48.914Z
F,T,2015-01-30T04:23:47.272Z
F,T,2015-01-30T04:23:45.914Z
F,T,2015-01-30T04:23:44.514Z
T,T,2015-01-30T04:21:24.620Z
T,T,2015-01-30T04:21:22.583Z
T,T,2015-01-30T04:21:20.719Z
T,T,2015-01-30T04:21:18.821Z
T,T,2015-01-30T04:21:17.009Z
T,T,2015-01-30T04:21:15.316Z
T,F,2015-01-30T04:18:38.826Z
T,F,2015-01-30T04:18:37.676Z
T,F,2015-01-30T04:18:36.264Z
T,F,2015-01-30T04:18:35.146Z
T,F,2015-01-30T04:18:33.381Z
T,F,2015-01-30T04:18:32.195Z
T,F,2015-01-30T04:14:57.613Z
T,F,2015-01-30T04:14:55.697Z
T,F,2015-01-30T04:14:54.148Z
T,F,2015-01-30T04:14:52.458Z
T,F,2015-01-30T04:14:50.578Z
T,F,2015-01-30T04:14:46.827Z
TP,F,2015-01-30T04:04:30.536Z
TP,F,2015-01-30T04:03:58.913Z
TP,F,2015-01-30T04:03:26.864Z
TP,F,2015-01-30T04:02:54.557Z
TP,F,2015-01-30T04:02:22.680Z
TP,F,2015-01-30T04:01:50.422Z
TP,F,2015-01-30T04:01:18.745Z
